YEAR,IRSEX,CATAG7,INCOME,EDUCCAT2,Nervous_99,Nervous_1,Nervous_2,Nervous_3,Nervous_4,Nervous_5,Nervous_94,Nervous_97,Nervous_85,Nervous_98,Nervous_89,Nervous_skip,Nervous_any,Nervous_no,Nervous_others,num_people,Hopeless_99,Hopeless_1,Hopeless_2,Hopeless_3,Hopeless_4,Hopeless_5,Hopeless_94,Hopeless_97,Hopeless_85,Hopeless_98,Hopeless_89,Hopeless_skip,Hopeless_any,Hopeless_no,Hopeless_others,Restless_99,Restless_1,Restless_2,Restless_3,Restless_4,Restless_5,Restless_94,Restless_97,Restless_85,Restless_98,Restless_89,Restless_skip,Restless_any,Restless_no,Restless_others
2002,2,5,1,2,NA,34,61,108,176,190,2,1,NA,NA,NA,NA,379,190,3,572,NA,36,57,75,130,270,3,1,NA,NA,NA,NA,298,270,4,NA,25,56,88,134,266,1,2,NA,NA,NA,NA,303,266,3
2002,2,5,1,3,NA,25,75,167,259,128,3,1,NA,NA,NA,NA,526,128,4,658,NA,32,78,107,160,277,3,1,NA,NA,NA,NA,377,277,4,NA,25,71,143,211,205,2,1,NA,NA,NA,NA,450,205,3
2002,2,5,1,4,NA,10,49,100,142,51,NA,NA,NA,NA,NA,NA,301,51,NA,352,NA,12,40,59,99,142,NA,NA,NA,NA,NA,NA,210,142,NA,NA,10,41,70,146,85,NA,NA,NA,NA,NA,NA,267,85,NA
2002,2,5,2,1,NA,16,37,55,91,99,3,NA,NA,NA,NA,NA,199,99,3,301,NA,16,25,43,54,161,2,NA,NA,NA,NA,NA,138,161,2,NA,14,27,48,71,139,2,NA,NA,NA,NA,NA,160,139,2
2002,2,5,2,2,NA,42,77,165,301,280,4,NA,NA,NA,NA,NA,585,280,4,869,NA,38,73,130,166,459,3,NA,NA,NA,NA,NA,407,459,3,NA,34,72,161,213,384,5,NA,NA,NA,NA,NA,480,384,5
2002,2,5,2,3,NA,24,93,175,332,237,5,NA,NA,NA,NA,NA,624,237,5,866,NA,37,93,117,182,434,3,NA,NA,NA,NA,NA,429,434,3,NA,34,63,157,252,355,5,NA,NA,NA,NA,NA,506,355,5
2002,2,5,2,4,NA,9,62,131,203,109,1,NA,NA,NA,NA,NA,405,109,1,515,NA,10,43,84,108,268,2,NA,NA,NA,NA,NA,245,268,2,NA,8,53,95,176,181,2,NA,NA,NA,NA,NA,332,181,2
2002,2,5,3,1,NA,NA,4,5,7,12,NA,NA,NA,NA,NA,NA,16,12,NA,28,NA,2,1,5,5,15,NA,NA,NA,NA,NA,NA,13,15,NA,NA,2,1,2,11,12,NA,NA,NA,NA,NA,NA,16,12,NA
2002,2,5,3,2,NA,6,26,40,77,58,1,NA,1,NA,NA,NA,149,58,2,209,NA,11,24,28,52,93,NA,NA,1,NA,NA,NA,115,93,1,NA,8,19,41,59,80,1,NA,1,NA,NA,NA,127,80,2
2002,2,5,3,3,NA,7,40,52,114,78,NA,1,NA,NA,NA,NA,213,78,1,292,NA,10,29,37,71,145,NA,NA,NA,NA,NA,NA,147,145,NA,NA,11,27,48,84,122,NA,NA,NA,NA,NA,NA,170,122,NA
2002,2,5,3,4,NA,3,23,64,81,53,NA,NA,1,NA,NA,NA,171,53,1,225,NA,4,13,32,50,125,NA,NA,1,NA,NA,NA,99,125,1,NA,5,15,40,75,88,1,NA,1,NA,NA,NA,135,88,2
2002,2,5,4,1,NA,NA,2,7,9,5,NA,NA,NA,NA,NA,NA,18,5,NA,23,NA,3,1,4,4,11,NA,NA,NA,NA,NA,NA,12,11,NA,NA,NA,3,3,10,7,NA,NA,NA,NA,NA,NA,16,7,NA
2002,2,5,4,2,NA,4,6,12,37,36,NA,NA,NA,NA,NA,NA,59,36,NA,95,NA,6,5,13,16,55,NA,NA,NA,NA,NA,NA,40,55,NA,NA,4,9,8,24,50,NA,NA,NA,NA,NA,NA,45,50,NA
2002,2,5,4,3,NA,3,25,53,85,54,2,NA,NA,NA,NA,NA,166,54,2,222,NA,6,29,31,49,106,1,NA,NA,NA,NA,NA,115,106,1,NA,5,27,52,61,75,2,NA,NA,NA,NA,NA,145,75,2
2002,2,5,4,4,NA,7,23,60,102,39,1,NA,NA,NA,NA,NA,192,39,1,232,NA,5,12,34,60,121,NA,NA,NA,NA,NA,NA,111,121,NA,NA,3,17,48,74,90,NA,NA,NA,NA,NA,NA,142,90,NA
2002,2,6,1,1,NA,11,18,23,44,72,1,1,NA,1,NA,NA,96,72,3,171,NA,11,14,21,36,86,1,1,NA,1,NA,NA,82,86,3,NA,8,14,27,34,84,2,1,NA,1,NA,NA,83,84,4
2002,2,6,1,2,NA,10,24,26,65,78,2,1,NA,NA,NA,NA,125,78,3,206,NA,16,15,37,33,102,2,1,NA,NA,NA,NA,101,102,3,NA,13,21,29,40,99,3,1,NA,NA,NA,NA,103,99,4
2002,2,6,1,3,NA,2,16,25,28,34,NA,1,NA,NA,NA,NA,71,34,1,106,NA,5,15,22,23,40,1,NA,NA,NA,NA,NA,65,40,1,NA,4,13,24,26,36,3,NA,NA,NA,NA,NA,67,36,3
2002,2,6,1,4,NA,1,7,20,15,10,NA,NA,NA,NA,NA,NA,43,10,NA,53,NA,2,7,10,15,19,NA,NA,NA,NA,NA,NA,34,19,NA,NA,1,6,13,16,17,NA,NA,NA,NA,NA,NA,36,17,NA
2002,2,6,2,1,NA,7,21,20,40,52,3,NA,NA,NA,NA,NA,88,52,3,143,NA,8,15,12,28,78,1,1,NA,NA,NA,NA,63,78,2,NA,7,11,19,24,80,1,1,NA,NA,NA,NA,61,80,2
2002,2,6,2,2,NA,13,30,82,138,147,2,2,NA,NA,NA,NA,263,147,4,414,NA,11,29,44,89,239,1,1,NA,NA,NA,NA,173,239,2,NA,13,26,76,96,201,1,1,NA,NA,NA,NA,211,201,2
2002,2,6,2,3,NA,14,37,93,137,103,2,NA,NA,NA,NA,NA,281,103,2,386,NA,14,28,64,73,206,1,NA,NA,NA,NA,NA,179,206,1,NA,12,29,65,114,165,1,NA,NA,NA,NA,NA,220,165,1
2002,2,6,2,4,NA,4,40,91,122,54,1,2,NA,NA,NA,NA,257,54,3,314,NA,12,30,57,77,136,1,1,NA,NA,NA,NA,176,136,2,NA,7,27,68,93,114,2,3,NA,NA,NA,NA,195,114,5
2002,2,6,3,1,NA,NA,3,4,4,5,NA,NA,NA,NA,NA,NA,11,5,NA,16,NA,NA,NA,4,3,9,NA,NA,NA,NA,NA,NA,7,9,NA,NA,NA,2,2,5,7,NA,NA,NA,NA,NA,NA,9,7,NA
2002,2,6,3,2,NA,1,17,34,42,37,NA,NA,NA,NA,NA,NA,94,37,NA,131,NA,4,9,26,17,75,NA,NA,NA,NA,NA,NA,56,75,NA,NA,4,11,22,42,52,NA,NA,NA,NA,NA,NA,79,52,NA
2002,2,6,3,3,NA,2,25,44,71,44,NA,NA,NA,1,NA,NA,142,44,1,187,NA,8,14,23,43,98,NA,NA,NA,1,NA,NA,88,98,1,NA,4,12,46,59,65,NA,NA,NA,1,NA,NA,121,65,1
2002,2,6,3,4,NA,5,25,53,120,61,NA,NA,NA,NA,NA,NA,203,61,NA,264,NA,7,12,32,60,152,1,NA,NA,NA,NA,NA,111,152,1,NA,4,11,47,85,116,1,NA,NA,NA,NA,NA,147,116,1
2002,2,6,4,1,NA,1,2,1,7,8,NA,NA,NA,NA,NA,NA,11,8,NA,19,NA,1,2,NA,6,10,NA,NA,NA,NA,NA,NA,9,10,NA,NA,1,NA,2,6,10,NA,NA,NA,NA,NA,NA,9,10,NA
2002,2,6,4,2,NA,1,2,15,26,13,NA,1,NA,NA,NA,NA,44,13,1,58,NA,1,2,7,8,39,NA,1,NA,NA,NA,NA,18,39,1,NA,1,2,10,15,29,NA,1,NA,NA,NA,NA,28,29,1
2002,2,6,4,3,NA,3,8,21,59,39,NA,1,NA,NA,NA,NA,91,39,1,131,NA,6,8,12,25,80,NA,NA,NA,NA,NA,NA,51,80,NA,NA,NA,6,22,47,55,1,NA,NA,NA,NA,NA,75,55,1
2002,2,6,4,4,NA,5,31,83,146,75,NA,NA,NA,NA,NA,NA,265,75,NA,340,NA,5,14,45,74,201,NA,NA,NA,1,NA,NA,138,201,1,NA,6,21,65,114,133,NA,NA,NA,1,NA,NA,206,133,1
2002,2,7,1,1,NA,28,49,88,148,217,7,3,NA,2,NA,NA,313,217,12,542,NA,18,41,60,80,330,7,4,NA,2,NA,NA,199,330,13,NA,18,42,70,128,272,7,3,NA,2,NA,NA,258,272,12
2002,2,7,1,2,NA,24,40,102,170,177,4,NA,NA,NA,NA,NA,336,177,4,517,NA,19,33,50,96,316,3,NA,NA,NA,NA,NA,198,316,3,NA,13,38,77,144,242,3,NA,NA,NA,NA,NA,272,242,3
2002,2,7,1,3,NA,14,29,56,88,82,1,1,NA,NA,NA,NA,187,82,2,271,NA,14,24,32,39,161,NA,1,NA,NA,NA,NA,109,161,1,NA,13,24,40,82,111,NA,1,NA,NA,NA,NA,159,111,1
2002,2,7,1,4,NA,3,12,20,27,16,NA,NA,NA,NA,NA,NA,62,16,NA,78,NA,NA,8,15,7,48,NA,NA,NA,NA,NA,NA,30,48,NA,NA,1,7,15,21,34,NA,NA,NA,NA,NA,NA,44,34,NA
2002,2,7,2,1,NA,22,32,82,130,173,5,1,NA,2,NA,NA,266,173,8,447,NA,21,27,41,81,270,3,2,NA,2,NA,NA,170,270,7,NA,15,26,63,112,224,3,2,NA,2,NA,NA,216,224,7
2002,2,7,2,2,NA,26,100,207,403,381,10,6,NA,4,NA,NA,736,381,20,1137,NA,23,61,155,172,711,6,5,NA,4,NA,NA,411,711,15,NA,14,63,201,331,515,5,4,NA,4,NA,NA,609,515,13
2002,2,7,2,3,NA,8,55,177,249,184,4,2,NA,NA,NA,NA,489,184,6,679,NA,17,41,91,136,391,1,2,NA,NA,NA,NA,285,391,3,NA,18,37,125,207,287,3,2,NA,NA,NA,NA,387,287,5
2002,2,7,2,4,NA,10,39,105,157,114,1,1,NA,NA,NA,NA,311,114,2,427,NA,8,23,53,90,252,NA,1,NA,NA,NA,NA,174,252,1,NA,7,22,72,145,179,1,1,NA,NA,NA,NA,246,179,2
2002,2,7,3,1,NA,1,6,10,18,26,NA,NA,NA,NA,NA,NA,35,26,NA,61,NA,1,3,7,10,40,NA,NA,NA,NA,NA,NA,21,40,NA,NA,1,2,9,16,32,1,NA,NA,NA,NA,NA,28,32,1
2002,2,7,3,2,NA,9,38,71,174,124,3,1,NA,NA,NA,NA,292,124,4,420,NA,11,22,45,59,280,1,2,NA,NA,NA,NA,137,280,3,NA,6,24,66,130,190,2,2,NA,NA,NA,NA,226,190,4
2002,2,7,3,3,NA,6,47,106,166,125,1,2,NA,NA,NA,NA,325,125,3,453,NA,7,20,46,90,287,1,2,NA,NA,NA,NA,163,287,3,NA,4,22,57,141,226,1,2,NA,NA,NA,NA,224,226,3
2002,2,7,3,4,NA,3,37,93,158,105,1,NA,NA,1,NA,NA,291,105,2,398,NA,5,16,52,93,229,2,NA,NA,1,NA,NA,166,229,3,NA,5,12,65,139,174,2,NA,NA,1,NA,NA,221,174,3
2002,2,7,4,1,NA,1,NA,6,18,14,2,1,NA,NA,NA,NA,25,14,3,42,NA,NA,NA,4,5,31,1,1,NA,NA,NA,NA,9,31,2,NA,1,NA,5,14,20,1,1,NA,NA,NA,NA,20,20,2
2002,2,7,4,2,NA,9,24,74,142,102,1,1,NA,NA,NA,NA,249,102,2,353,NA,5,15,38,55,238,1,1,NA,NA,NA,NA,113,238,2,NA,2,16,59,104,170,1,1,NA,NA,NA,NA,181,170,2
2002,2,7,4,3,NA,13,24,91,166,110,4,NA,NA,NA,NA,NA,294,110,4,408,NA,4,10,51,79,260,4,NA,NA,NA,NA,NA,144,260,4,NA,5,10,78,131,180,4,NA,NA,NA,NA,NA,224,180,4
2002,2,7,4,4,NA,9,70,227,349,173,5,1,NA,NA,NA,NA,655,173,6,834,NA,7,33,89,182,517,5,1,NA,NA,NA,NA,311,517,6,NA,5,31,118,296,378,5,1,NA,NA,NA,NA,450,378,6
2003,1,1,1,5,591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,591,NA,NA,NA,591,591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,591,NA,NA,NA,591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,591,NA,NA,NA
2003,1,1,2,5,1167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1167,NA,NA,NA,1167,1167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1167,NA,NA,NA,1167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1167,NA,NA,NA
2003,1,1,3,5,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,615,NA,NA,NA,615,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,615,NA,NA,NA,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,615,NA,NA,NA
2003,1,1,4,5,803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,803,NA,NA,NA,803,803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,803,NA,NA,NA,803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,803,NA,NA,NA
2003,1,2,1,5,553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553,NA,NA,NA,553,553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553,NA,NA,NA,553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553,NA,NA,NA
2003,1,2,2,5,1163,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1163,NA,NA,1,1164,1163,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1163,NA,NA,1,1163,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1163,NA,NA,1
2003,1,2,3,5,636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,636,NA,NA,NA,636,636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,636,NA,NA,NA,636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,636,NA,NA,NA
2003,1,2,4,5,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760,NA,NA,NA,760,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760,NA,NA,NA,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760,NA,NA,NA
2003,1,3,1,5,526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,526,NA,NA,NA,526,526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,526,NA,NA,NA,526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,526,NA,NA,NA
2003,1,3,2,5,1144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1144,NA,NA,NA,1144,1144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1144,NA,NA,NA,1144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1144,NA,NA,NA
2003,1,3,3,5,623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,623,NA,NA,NA,623,623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,623,NA,NA,NA,623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,623,NA,NA,NA
2003,1,3,4,5,818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,818,NA,NA,NA,818,818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,818,NA,NA,NA,818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,818,NA,NA,NA
2003,1,4,1,1,NA,10,47,50,105,143,5,3,NA,NA,NA,NA,212,143,8,363,NA,19,28,48,49,213,4,2,NA,NA,NA,NA,144,213,6,NA,17,28,54,69,189,4,2,NA,NA,NA,NA,168,189,6
2003,1,4,1,2,NA,14,57,82,212,131,9,1,NA,NA,NA,NA,365,131,10,506,NA,12,35,55,105,294,4,1,NA,NA,NA,NA,207,294,5,NA,12,36,82,139,233,3,1,NA,NA,NA,NA,269,233,4
2003,1,4,1,3,NA,5,24,89,148,68,2,NA,NA,NA,NA,NA,266,68,2,336,NA,7,14,51,73,188,3,NA,NA,NA,NA,NA,145,188,3,NA,7,19,68,109,130,3,NA,NA,NA,NA,NA,203,130,3
2003,1,4,2,1,NA,14,44,70,148,182,4,5,NA,NA,NA,NA,276,182,9,467,NA,21,38,45,88,270,1,4,NA,NA,NA,NA,192,270,5,NA,14,31,62,113,238,5,4,NA,NA,NA,NA,220,238,9
2003,1,4,2,2,NA,7,44,80,180,198,1,NA,NA,NA,NA,NA,311,198,1,510,NA,16,34,53,89,317,1,NA,NA,NA,NA,NA,192,317,1,NA,10,35,67,111,284,3,NA,NA,NA,NA,NA,223,284,3
2003,1,4,2,3,NA,4,19,52,65,55,2,NA,NA,NA,NA,NA,140,55,2,197,NA,5,20,33,35,101,3,NA,NA,NA,NA,NA,93,101,3,NA,6,17,32,49,91,2,NA,NA,NA,NA,NA,104,91,2
2003,1,4,3,1,NA,9,11,24,54,64,1,NA,NA,NA,NA,NA,98,64,1,163,NA,7,10,15,34,97,NA,NA,NA,NA,NA,NA,66,97,NA,NA,7,8,19,43,82,3,1,NA,NA,NA,NA,77,82,4
2003,1,4,3,2,NA,4,14,48,99,77,2,NA,NA,NA,NA,NA,165,77,2,244,NA,8,17,32,43,142,2,NA,NA,NA,NA,NA,100,142,2,NA,4,17,44,61,114,4,NA,NA,NA,NA,NA,126,114,4
2003,1,4,3,3,NA,NA,6,18,48,32,NA,NA,NA,NA,NA,NA,72,32,NA,104,NA,2,9,8,20,65,NA,NA,NA,NA,NA,NA,39,65,NA,NA,1,6,20,29,48,NA,NA,NA,NA,NA,NA,56,48,NA
2003,1,4,3,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA
2003,1,4,4,1,NA,6,15,41,77,69,NA,2,NA,NA,NA,NA,139,69,2,210,NA,6,20,26,28,128,1,1,NA,NA,NA,NA,80,128,2,NA,8,17,37,44,102,1,1,NA,NA,NA,NA,106,102,2
2003,1,4,4,2,NA,6,21,49,96,97,1,NA,NA,NA,NA,NA,172,97,1,270,NA,7,16,32,40,173,2,NA,NA,NA,NA,NA,95,173,2,NA,8,18,44,69,129,2,NA,NA,NA,NA,NA,139,129,2
2003,1,4,4,3,NA,2,8,33,70,53,2,2,NA,NA,NA,NA,113,53,4,170,NA,2,12,19,30,103,2,2,NA,NA,NA,NA,63,103,4,NA,3,14,34,40,75,2,2,NA,NA,NA,NA,91,75,4
2003,1,5,1,1,NA,10,38,71,111,148,3,NA,NA,1,NA,NA,230,148,4,382,NA,22,24,55,53,223,2,2,NA,1,NA,NA,154,223,5,NA,12,26,65,68,205,4,1,NA,1,NA,NA,171,205,6
2003,1,5,1,2,NA,4,21,73,98,135,6,3,NA,NA,NA,NA,196,135,9,340,NA,11,23,50,62,190,1,3,NA,NA,NA,NA,146,190,4,NA,8,26,59,70,173,2,2,NA,NA,NA,NA,163,173,4
2003,1,5,1,3,NA,7,43,131,247,154,3,1,NA,NA,NA,NA,428,154,4,586,NA,9,42,93,125,314,2,1,NA,NA,NA,NA,269,314,3,NA,10,40,111,179,243,3,NA,NA,NA,NA,NA,340,243,3
2003,1,5,1,4,NA,4,24,78,124,83,2,NA,NA,NA,NA,NA,230,83,2,315,NA,5,16,46,73,175,NA,NA,NA,NA,NA,NA,140,175,NA,NA,7,21,72,95,120,NA,NA,NA,NA,NA,NA,195,120,NA
2003,1,5,2,1,NA,10,42,57,147,192,2,1,NA,3,NA,NA,256,192,6,454,NA,15,29,48,72,282,3,2,NA,3,NA,NA,164,282,8,NA,15,23,61,98,247,5,2,NA,3,NA,NA,197,247,10
2003,1,5,2,2,NA,20,62,130,308,330,5,5,NA,NA,NA,NA,520,330,10,860,NA,21,48,96,136,553,3,3,NA,NA,NA,NA,301,553,6,NA,18,43,123,210,459,4,3,NA,NA,NA,NA,394,459,7
2003,1,5,2,3,NA,11,51,92,247,201,4,2,NA,NA,NA,NA,401,201,6,608,NA,9,40,73,96,387,2,1,NA,NA,NA,NA,218,387,3,NA,15,40,74,185,291,3,NA,NA,NA,NA,NA,314,291,3
2003,1,5,2,4,NA,1,27,92,170,67,3,NA,NA,NA,NA,NA,290,67,3,360,NA,4,10,47,69,228,2,NA,NA,NA,NA,NA,130,228,2,NA,8,20,71,122,137,2,NA,NA,NA,NA,NA,221,137,2
2003,1,5,3,1,NA,1,6,8,36,40,NA,1,NA,NA,NA,NA,51,40,1,92,NA,4,7,7,14,59,1,NA,NA,NA,NA,NA,32,59,1,NA,5,6,11,17,51,2,NA,NA,NA,NA,NA,39,51,2
2003,1,5,3,2,NA,7,8,44,88,91,2,1,NA,NA,NA,NA,147,91,3,241,NA,5,11,20,45,156,3,1,NA,NA,NA,NA,81,156,4,NA,6,13,32,59,127,3,1,NA,NA,NA,NA,110,127,4
2003,1,5,3,3,NA,5,13,31,89,63,3,NA,NA,NA,NA,NA,138,63,3,204,NA,5,15,14,32,136,2,NA,NA,NA,NA,NA,66,136,2,NA,3,17,38,38,106,2,NA,NA,NA,NA,NA,96,106,2
2003,1,5,3,4,NA,NA,7,18,40,25,NA,NA,NA,NA,NA,NA,65,25,NA,90,NA,4,2,6,16,62,NA,NA,NA,NA,NA,NA,28,62,NA,NA,2,8,14,24,42,NA,NA,NA,NA,NA,NA,48,42,NA
2003,1,5,4,1,NA,3,8,14,26,29,NA,NA,NA,NA,NA,NA,51,29,NA,80,NA,4,8,9,14,43,1,1,NA,NA,NA,NA,35,43,2,NA,2,6,10,20,40,2,NA,NA,NA,NA,NA,38,40,2
2003,1,5,4,2,NA,6,9,32,69,84,1,NA,NA,NA,NA,NA,116,84,1,201,NA,7,8,24,22,139,1,NA,NA,NA,NA,NA,61,139,1,NA,3,15,25,42,114,2,NA,NA,NA,NA,NA,85,114,2
2003,1,5,4,3,NA,3,19,62,116,90,2,1,NA,NA,NA,NA,200,90,3,293,NA,10,14,33,55,180,1,NA,NA,NA,NA,NA,112,180,1,NA,7,21,48,73,143,1,NA,NA,NA,NA,NA,149,143,1
2003,1,5,4,4,NA,2,15,40,65,40,1,NA,NA,NA,NA,NA,122,40,1,163,NA,4,10,19,33,96,1,NA,NA,NA,NA,NA,66,96,1,NA,6,4,37,48,67,1,NA,NA,NA,NA,NA,95,67,1
2003,1,6,1,1,NA,4,16,23,41,73,5,NA,1,NA,NA,NA,84,73,6,163,NA,7,4,20,27,100,4,NA,1,NA,NA,NA,58,100,5,NA,9,6,24,31,89,3,NA,1,NA,NA,NA,70,89,4
2003,1,6,1,2,NA,2,19,17,47,48,2,1,NA,NA,NA,NA,85,48,3,136,NA,6,7,20,20,80,1,2,NA,NA,NA,NA,53,80,3,NA,2,6,28,29,68,1,2,NA,NA,NA,NA,65,68,3
2003,1,6,1,3,NA,NA,10,13,22,27,1,NA,NA,NA,NA,NA,45,27,1,73,NA,NA,9,13,10,41,NA,NA,NA,NA,NA,NA,32,41,NA,NA,2,6,14,13,38,NA,NA,NA,NA,NA,NA,35,38,NA
2003,1,6,1,4,NA,NA,4,8,16,10,1,NA,NA,NA,NA,NA,28,10,1,39,NA,NA,2,7,7,22,1,NA,NA,NA,NA,NA,16,22,1,NA,NA,3,6,12,17,1,NA,NA,NA,NA,NA,21,17,1
2003,1,6,2,1,NA,3,17,25,60,103,2,1,NA,NA,NA,NA,105,103,3,211,NA,6,16,20,29,139,1,NA,NA,NA,NA,NA,71,139,1,NA,4,9,30,45,122,1,NA,NA,NA,NA,NA,88,122,1
2003,1,6,2,2,NA,9,28,62,164,177,4,1,NA,NA,NA,NA,263,177,5,445,NA,11,24,33,79,293,4,1,NA,NA,NA,NA,147,293,5,NA,6,27,59,105,243,4,1,NA,NA,NA,NA,197,243,5
2003,1,6,2,3,NA,6,18,45,108,112,1,2,NA,NA,NA,NA,177,112,3,292,NA,1,17,33,54,185,1,1,NA,NA,NA,NA,105,185,2,NA,2,20,44,82,142,1,1,NA,NA,NA,NA,148,142,2
2003,1,6,2,4,NA,NA,16,44,102,52,1,NA,NA,NA,NA,NA,162,52,1,215,NA,1,7,17,50,139,1,NA,NA,NA,NA,NA,75,139,1,NA,3,8,32,73,98,1,NA,NA,NA,NA,NA,116,98,1
2003,1,6,3,1,NA,1,3,8,11,28,NA,NA,NA,1,NA,NA,23,28,1,52,NA,NA,NA,5,9,37,NA,NA,NA,1,NA,NA,14,37,1,NA,1,3,10,9,28,NA,NA,NA,1,NA,NA,23,28,1
2003,1,6,3,2,NA,1,6,19,65,66,1,NA,NA,NA,NA,NA,91,66,1,158,NA,2,1,15,25,115,NA,NA,NA,NA,NA,NA,43,115,NA,NA,1,6,17,42,91,1,NA,NA,NA,NA,NA,66,91,1
2003,1,6,3,3,NA,1,12,19,64,64,NA,NA,NA,NA,NA,NA,96,64,NA,160,NA,3,7,10,19,121,NA,NA,NA,NA,NA,NA,39,121,NA,NA,2,11,19,42,86,NA,NA,NA,NA,NA,NA,74,86,NA
2003,1,6,3,4,NA,NA,8,32,84,49,NA,NA,NA,NA,NA,NA,124,49,NA,173,NA,2,1,15,36,119,NA,NA,NA,NA,NA,NA,54,119,NA,NA,NA,8,22,64,79,NA,NA,NA,NA,NA,NA,94,79,NA
2003,1,6,4,1,NA,1,2,NA,6,7,NA,1,NA,1,NA,NA,9,7,2,18,NA,1,NA,NA,3,12,NA,1,NA,1,NA,NA,4,12,2,NA,1,1,NA,6,9,NA,NA,NA,1,NA,NA,8,9,1
2003,1,6,4,2,NA,2,4,11,41,33,1,NA,NA,NA,NA,NA,58,33,1,92,NA,2,1,9,18,61,1,NA,NA,NA,NA,NA,30,61,1,NA,2,5,13,27,44,1,NA,NA,NA,NA,NA,47,44,1
2003,1,6,4,3,NA,NA,7,23,46,41,2,NA,NA,1,NA,NA,76,41,3,120,NA,NA,5,13,22,77,2,NA,NA,1,NA,NA,40,77,3,NA,NA,3,14,42,58,2,NA,NA,1,NA,NA,59,58,3
2003,1,6,4,4,NA,NA,20,50,104,76,2,NA,NA,NA,NA,NA,174,76,2,252,NA,NA,5,23,54,169,1,NA,NA,NA,NA,NA,82,169,1,NA,4,11,36,87,113,1,NA,NA,NA,NA,NA,138,113,1
2003,1,7,1,1,NA,18,31,43,94,158,8,2,NA,1,NA,NA,186,158,11,355,NA,12,22,44,51,214,8,3,NA,1,NA,NA,129,214,12,NA,13,18,46,71,194,9,3,NA,1,NA,NA,148,194,13
2003,1,7,1,2,NA,6,24,51,82,113,1,NA,NA,NA,NA,NA,163,113,1,277,NA,7,16,44,46,164,NA,NA,NA,NA,NA,NA,113,164,NA,NA,6,21,48,63,139,NA,NA,NA,NA,NA,NA,138,139,NA
2003,1,7,1,3,NA,4,17,27,42,57,1,NA,NA,1,NA,NA,90,57,2,149,NA,6,10,24,19,87,2,NA,NA,1,NA,NA,59,87,3,NA,5,13,26,39,64,1,NA,NA,1,NA,NA,83,64,2
2003,1,7,1,4,NA,2,5,10,25,21,NA,NA,NA,NA,NA,NA,42,21,NA,63,NA,NA,5,5,20,33,NA,NA,NA,NA,NA,NA,30,33,NA,NA,NA,5,5,26,27,NA,NA,NA,NA,NA,NA,36,27,NA
2003,1,7,2,1,NA,10,24,58,155,229,4,1,NA,2,NA,NA,247,229,7,483,NA,8,20,47,69,331,4,2,NA,2,NA,NA,144,331,8,NA,8,26,56,104,282,4,1,NA,2,NA,NA,194,282,7
2003,1,7,2,2,NA,12,39,131,331,364,6,1,NA,NA,NA,NA,513,364,7,884,NA,17,22,76,146,621,2,NA,NA,NA,NA,NA,261,621,2,NA,14,30,103,257,475,5,NA,NA,NA,NA,NA,404,475,5
