YEAR,IRSEX,CATAG7,INCOME,EDUCCAT2,Nervous_99,Nervous_1,Nervous_2,Nervous_3,Nervous_4,Nervous_5,Nervous_94,Nervous_97,Nervous_85,Nervous_98,Nervous_89,Nervous_skip,Nervous_any,Nervous_no,Nervous_others,num_people,Hopeless_99,Hopeless_1,Hopeless_2,Hopeless_3,Hopeless_4,Hopeless_5,Hopeless_94,Hopeless_97,Hopeless_85,Hopeless_98,Hopeless_89,Hopeless_skip,Hopeless_any,Hopeless_no,Hopeless_others,Restless_99,Restless_1,Restless_2,Restless_3,Restless_4,Restless_5,Restless_94,Restless_97,Restless_85,Restless_98,Restless_89,Restless_skip,Restless_any,Restless_no,Restless_others
2002,1,4,3,3,NA,1,12,20,47,31,NA,NA,NA,NA,NA,NA,80,31,NA,111,NA,3,12,12,22,62,NA,NA,NA,NA,NA,NA,49,62,NA,NA,2,8,10,42,49,NA,NA,NA,NA,NA,NA,62,49,NA
2002,1,4,4,1,NA,2,13,33,73,59,1,NA,NA,NA,NA,NA,121,59,1,181,NA,5,16,25,42,93,NA,NA,NA,NA,NA,NA,88,93,NA,NA,5,15,29,50,82,NA,NA,NA,NA,NA,NA,99,82,NA
2002,1,4,4,2,NA,5,29,48,101,104,3,NA,NA,NA,NA,NA,183,104,3,290,NA,12,19,37,48,172,2,NA,NA,NA,NA,NA,116,172,2,NA,12,18,60,61,137,2,NA,NA,NA,NA,NA,151,137,2
2002,1,4,4,3,NA,5,15,35,74,46,NA,NA,NA,NA,NA,NA,129,46,NA,175,NA,5,12,15,40,102,1,NA,NA,NA,NA,NA,72,102,1,NA,4,10,33,62,65,1,NA,NA,NA,NA,NA,109,65,1
2002,1,4,4,4,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,1
2002,1,5,1,1,NA,6,32,39,78,126,7,2,NA,NA,NA,NA,155,126,9,290,NA,13,20,43,48,157,6,3,NA,NA,NA,NA,124,157,9,NA,8,21,45,58,151,5,2,NA,NA,NA,NA,132,151,7
2002,1,5,1,2,NA,11,28,56,117,141,4,2,NA,NA,NA,NA,212,141,6,359,NA,11,25,43,60,214,4,2,NA,NA,NA,NA,139,214,6,NA,17,27,54,76,181,3,1,NA,NA,NA,NA,174,181,4
2002,1,5,1,3,NA,10,48,116,216,138,NA,1,NA,NA,NA,NA,390,138,1,529,NA,8,43,64,112,302,NA,NA,NA,NA,NA,NA,227,302,NA,NA,8,36,102,175,207,NA,1,NA,NA,NA,NA,321,207,1
2002,1,5,1,4,NA,5,23,66,108,66,NA,NA,NA,NA,NA,NA,202,66,NA,268,NA,5,16,36,75,136,NA,NA,NA,NA,NA,NA,132,136,NA,NA,7,16,62,94,88,1,NA,NA,NA,NA,NA,179,88,1
2002,1,5,2,1,NA,18,28,40,129,164,3,NA,NA,NA,NA,NA,215,164,3,382,NA,23,21,36,69,231,2,NA,NA,NA,NA,NA,149,231,2,NA,16,20,50,80,214,2,NA,NA,NA,NA,NA,166,214,2
2002,1,5,2,2,NA,16,53,101,291,341,4,2,NA,NA,NA,NA,461,341,6,808,NA,20,47,87,140,506,6,2,NA,NA,NA,NA,294,506,8,NA,17,36,107,181,459,6,2,NA,NA,NA,NA,341,459,8
2002,1,5,2,3,NA,18,36,105,244,202,NA,2,NA,NA,NA,NA,403,202,2,607,NA,12,43,72,112,366,1,1,NA,NA,NA,NA,239,366,2,NA,10,49,96,164,284,3,1,NA,NA,NA,NA,319,284,4
2002,1,5,2,4,NA,4,33,66,142,78,NA,NA,NA,NA,NA,NA,245,78,NA,323,NA,5,13,47,68,189,1,NA,NA,NA,NA,NA,133,189,1,NA,6,23,65,106,122,1,NA,NA,NA,NA,NA,200,122,1
2002,1,5,3,1,NA,4,8,7,34,40,NA,NA,1,NA,NA,NA,53,40,1,94,NA,2,9,10,12,60,NA,NA,1,NA,NA,NA,33,60,1,NA,3,2,18,17,53,NA,NA,1,NA,NA,NA,40,53,1
2002,1,5,3,2,NA,6,18,30,79,89,3,NA,NA,NA,NA,NA,133,89,3,225,NA,7,10,18,38,151,1,NA,NA,NA,NA,NA,73,151,1,NA,5,11,25,60,122,2,NA,NA,NA,NA,NA,101,122,2
2002,1,5,3,3,NA,5,21,42,79,62,NA,2,1,NA,NA,NA,147,62,3,212,NA,5,17,17,41,127,2,2,1,NA,NA,NA,80,127,5,NA,2,22,34,61,89,1,2,1,NA,NA,NA,119,89,4
2002,1,5,3,4,NA,NA,11,27,68,36,NA,NA,NA,NA,NA,NA,106,36,NA,142,NA,2,6,17,25,92,NA,NA,NA,NA,NA,NA,50,92,NA,NA,1,6,25,49,61,NA,NA,NA,NA,NA,NA,81,61,NA
2002,1,5,4,1,NA,2,4,6,15,27,NA,NA,NA,NA,NA,NA,27,27,NA,54,NA,4,6,1,5,38,NA,NA,NA,NA,NA,NA,16,38,NA,NA,1,4,6,9,34,NA,NA,NA,NA,NA,NA,20,34,NA
2002,1,5,4,2,NA,6,16,26,79,74,1,1,NA,NA,NA,NA,127,74,2,203,NA,12,15,19,36,120,1,NA,NA,NA,NA,NA,82,120,1,NA,3,16,19,54,110,1,NA,NA,NA,NA,NA,92,110,1
2002,1,5,4,3,NA,3,21,47,101,99,NA,NA,NA,NA,NA,NA,172,99,NA,271,NA,5,16,31,50,169,NA,NA,NA,NA,NA,NA,102,169,NA,NA,3,13,41,81,133,NA,NA,NA,NA,NA,NA,138,133,NA
2002,1,5,4,4,NA,2,16,28,74,49,NA,NA,NA,NA,NA,NA,120,49,NA,169,NA,2,6,18,40,103,NA,NA,NA,NA,NA,NA,66,103,NA,NA,3,5,35,65,61,NA,NA,NA,NA,NA,NA,108,61,NA
2002,1,6,1,1,NA,4,16,13,31,63,1,1,NA,1,NA,NA,64,63,3,130,NA,4,7,17,18,83,NA,NA,NA,1,NA,NA,46,83,1,NA,3,6,17,22,80,NA,1,NA,1,NA,NA,48,80,2
2002,1,6,1,2,NA,3,8,24,40,40,NA,1,NA,NA,NA,NA,75,40,1,116,NA,4,10,17,18,66,1,NA,NA,NA,NA,NA,49,66,1,NA,1,8,28,29,49,1,NA,NA,NA,NA,NA,66,49,1
2002,1,6,1,3,NA,3,4,7,22,22,NA,NA,NA,NA,NA,NA,36,22,NA,58,NA,6,3,6,14,29,NA,NA,NA,NA,NA,NA,29,29,NA,NA,3,5,10,13,27,NA,NA,NA,NA,NA,NA,31,27,NA
2002,1,6,1,4,NA,1,6,13,18,9,NA,NA,NA,NA,NA,NA,38,9,NA,47,NA,NA,5,5,15,22,NA,NA,NA,NA,NA,NA,25,22,NA,NA,NA,4,11,20,12,NA,NA,NA,NA,NA,NA,35,12,NA
2002,1,6,2,1,NA,2,17,17,58,111,1,NA,NA,2,NA,NA,94,111,3,208,NA,2,8,24,28,143,1,NA,NA,2,NA,NA,62,143,3,NA,2,14,23,38,128,1,NA,NA,2,NA,NA,77,128,3
2002,1,6,2,2,NA,12,28,65,144,196,5,1,NA,NA,NA,NA,249,196,6,451,NA,13,26,36,73,298,3,2,NA,NA,NA,NA,148,298,5,NA,7,29,58,111,242,3,1,NA,NA,NA,NA,205,242,4
2002,1,6,2,3,NA,6,15,49,102,107,2,3,NA,NA,NA,NA,172,107,5,284,NA,5,9,39,47,180,2,2,NA,NA,NA,NA,100,180,4,NA,7,12,39,81,141,1,3,NA,NA,NA,NA,139,141,4
2002,1,6,2,4,NA,1,15,57,99,72,2,NA,NA,1,NA,NA,172,72,3,247,NA,1,10,27,54,153,1,NA,NA,1,NA,NA,92,153,2,NA,1,13,43,72,116,1,NA,NA,1,NA,NA,129,116,2
2002,1,6,3,1,NA,NA,3,7,16,17,NA,NA,NA,NA,NA,NA,26,17,NA,43,NA,1,1,3,7,30,NA,1,NA,NA,NA,NA,12,30,1,NA,1,3,5,14,19,NA,1,NA,NA,NA,NA,23,19,1
2002,1,6,3,2,NA,4,14,18,60,98,NA,NA,NA,NA,NA,NA,96,98,NA,194,NA,1,8,12,34,138,1,NA,NA,NA,NA,NA,55,138,1,NA,5,3,29,55,102,NA,NA,NA,NA,NA,NA,92,102,NA
2002,1,6,3,3,NA,3,11,17,64,72,2,NA,NA,NA,NA,NA,95,72,2,169,NA,2,8,13,24,121,1,NA,NA,NA,NA,NA,47,121,1,NA,1,11,15,50,91,1,NA,NA,NA,NA,NA,77,91,1
2002,1,6,3,4,NA,NA,9,35,67,52,NA,1,NA,NA,NA,NA,111,52,1,164,NA,1,7,7,34,113,1,1,NA,NA,NA,NA,49,113,2,NA,NA,8,24,66,64,1,1,NA,NA,NA,NA,98,64,2
2002,1,6,4,1,NA,2,NA,2,1,12,NA,NA,NA,NA,NA,NA,5,12,NA,17,NA,1,NA,2,1,13,NA,NA,NA,NA,NA,NA,4,13,NA,NA,2,NA,1,3,11,NA,NA,NA,NA,NA,NA,6,11,NA
2002,1,6,4,2,NA,1,5,10,29,33,2,NA,NA,NA,NA,NA,45,33,2,80,NA,4,1,5,9,59,2,NA,NA,NA,NA,NA,19,59,2,NA,3,2,14,17,42,2,NA,NA,NA,NA,NA,36,42,2
2002,1,6,4,3,NA,2,7,20,40,43,1,NA,NA,NA,NA,NA,69,43,1,113,NA,2,5,6,19,80,1,NA,NA,NA,NA,NA,32,80,1,NA,2,4,23,38,45,1,NA,NA,NA,NA,NA,67,45,1
2002,1,6,4,4,NA,4,15,53,101,96,NA,NA,1,NA,NA,NA,173,96,1,270,NA,1,8,19,36,205,NA,NA,1,NA,NA,NA,64,205,1,NA,3,10,46,88,122,NA,NA,1,NA,NA,NA,147,122,1
2002,1,7,1,1,NA,7,35,42,68,155,2,5,NA,NA,NA,NA,152,155,7,314,NA,11,20,34,40,203,1,5,NA,NA,NA,NA,105,203,6,NA,13,24,31,52,188,1,5,NA,NA,NA,NA,120,188,6
2002,1,7,1,2,NA,9,19,41,90,123,5,NA,NA,1,NA,NA,159,123,6,288,NA,7,15,39,40,183,3,NA,NA,1,NA,NA,101,183,4,NA,7,19,41,75,143,1,1,NA,1,NA,NA,142,143,3
2002,1,7,1,3,NA,8,9,23,29,43,NA,1,NA,NA,NA,NA,69,43,1,113,NA,7,6,14,25,60,NA,1,NA,NA,NA,NA,52,60,1,NA,5,8,17,32,50,NA,1,NA,NA,NA,NA,62,50,1
2002,1,7,1,4,NA,2,3,19,23,16,NA,NA,NA,NA,NA,NA,47,16,NA,63,NA,NA,4,8,16,35,NA,NA,NA,NA,NA,NA,28,35,NA,NA,1,4,10,21,27,NA,NA,NA,NA,NA,NA,36,27,NA
2002,1,7,2,1,NA,14,25,51,135,228,5,2,NA,1,NA,NA,225,228,8,461,NA,14,16,42,60,325,2,1,NA,1,NA,NA,132,325,4,NA,10,17,57,99,272,4,1,NA,1,NA,NA,183,272,6
2002,1,7,2,2,NA,18,47,109,322,431,3,1,NA,2,NA,NA,496,431,6,933,NA,18,21,69,126,691,2,4,NA,2,NA,NA,234,691,8,NA,13,36,94,255,528,2,3,NA,2,NA,NA,398,528,7
2002,1,7,2,3,NA,11,23,72,186,213,2,2,NA,NA,NA,NA,292,213,4,509,NA,5,24,48,84,344,2,2,NA,NA,NA,NA,161,344,4,NA,3,22,66,136,278,2,2,NA,NA,NA,NA,227,278,4
2002,1,7,2,4,NA,4,17,70,168,126,2,2,NA,NA,NA,NA,259,126,4,389,NA,NA,10,33,71,270,3,2,NA,NA,NA,NA,114,270,5,NA,NA,12,58,131,183,3,2,NA,NA,NA,NA,201,183,5
2002,1,7,3,1,NA,NA,4,13,31,45,NA,NA,NA,NA,NA,NA,48,45,NA,93,NA,3,1,10,14,65,NA,NA,NA,NA,NA,NA,28,65,NA,NA,2,NA,12,22,57,NA,NA,NA,NA,NA,NA,36,57,NA
2002,1,7,3,2,NA,3,19,45,162,181,4,3,NA,NA,NA,NA,229,181,7,417,NA,NA,14,21,58,319,3,2,NA,NA,NA,NA,93,319,5,NA,1,18,40,108,245,3,2,NA,NA,NA,NA,167,245,5
2002,1,7,3,3,NA,6,15,37,131,136,NA,2,NA,NA,NA,NA,189,136,2,327,NA,3,5,26,48,243,NA,2,NA,NA,NA,NA,82,243,2,NA,3,9,46,96,171,NA,2,NA,NA,NA,NA,154,171,2
2002,1,7,3,4,NA,1,19,70,168,120,2,1,NA,1,NA,NA,258,120,4,382,NA,2,5,26,71,274,1,2,NA,1,NA,NA,104,274,4,NA,1,9,52,127,189,1,2,NA,1,NA,NA,189,189,4
2002,1,7,4,1,NA,1,2,9,16,38,1,NA,NA,NA,NA,NA,28,38,1,67,NA,1,2,4,8,52,NA,NA,NA,NA,NA,NA,15,52,NA,NA,1,4,8,13,41,NA,NA,NA,NA,NA,NA,26,41,NA
2002,1,7,4,2,NA,4,14,34,134,134,1,1,NA,NA,NA,NA,186,134,2,322,NA,3,6,14,45,253,NA,1,NA,NA,NA,NA,68,253,1,NA,3,5,29,116,168,NA,1,NA,NA,NA,NA,153,168,1
2002,1,7,4,3,NA,2,20,51,173,173,1,1,NA,NA,NA,NA,246,173,2,421,NA,3,12,23,67,313,2,1,NA,NA,NA,NA,105,313,3,NA,1,12,40,136,229,2,1,NA,NA,NA,NA,189,229,3
