Year,Column,Num_NA,Count_1,Unique_Values
2018,IRPINC3,0,25303,"1, 2, 3, 4, 5, 6, 7"
2018,IRFAMIN3,0,4263,"1, 2, 3, 4, 5, 6, 7"
2018,IIPINC3,0,54769,"1, 3"
2018,IIFAMIN3,0,51269,"1, 3"
2018,GOVTPROG,0,11692,"1, 2"
2018,INCOME,0,10128,"1, 2, 3, 4"
2019,IRPINC3,0,25145,"1, 2, 3, 4, 5, 6, 7"
2019,IRFAMIN3,0,4271,"1, 2, 3, 4, 5, 6, 7"
2019,IIPINC3,0,54541,"1, 3"
2019,IIFAMIN3,0,51118,"1, 3"
2019,GOVTPROG,0,11210,"1, 2"
2019,INCOME,0,9801,"1, 2, 3, 4"
