Year,Column,Num_NA,Count_1,Unique_Values
2004,MDELIWK2,0,1332,"1, 10, 11, 12, 13, 2, 3, 4, 5, 6, 7, 8, 9, 94, 97, 98, 99"
2004,GADWKS2,0,283,"1, 10, 11, 12, 13, 2, 3, 4, 5, 6, 7, 8, 9, 94, 97, 98, 99"
2004,PTSWKS2,0,582,"1, 10, 11, 12, 13, 2, 3, 4, 5, 6, 7, 8, 9, 94, 97, 98, 99"
2004,MHMEDWK2,0,248,"0, 1, 10, 11, 12, 13, 2, 3, 4, 5, 6, 7, 8, 9, 94, 97, 98, 99"
2004,IMPWKS2,0,2979,"1, 10, 11, 12, 13, 2, 3, 4, 5, 6, 7, 8, 9, 94, 97, 98, 99"
2005,PANATAK,0,0,-9
2005,MDEDP2WK,0,0,-9
2005,MDELOSIN,0,0,-9
2005,MNCHYPER,0,0,-9
2005,PHBCRWDS,0,0,-9
2005,PHBPUBPL,0,0,-9
2005,PHBTRAVL,0,0,-9
2005,PHBAWYHM,0,0,-9
2005,PTSEVER,0,0,-9
2005,MHHOSPOV,0,0,-9
2005,MHMEDS,0,0,-9
2005,MHOPNUM2,0,0,-9
2005,PANATKN2,0,0,-9
2005,MDEDPWKR,0,0,-9
2005,MDELIWK2,0,0,-9
2005,GADWKS2,0,0,-9
2005,PTSWKS2,0,0,-9
2005,MHMEDWK2,0,0,-9
2005,IMPWKS2,0,0,-9
2006,PANATAK,0,0,-9
2006,MDEDP2WK,0,0,-9
2006,MDELOSIN,0,0,-9
2006,MNCHYPER,0,0,-9
2006,PHBCRWDS,0,0,-9
2006,PHBPUBPL,0,0,-9
2006,PHBTRAVL,0,0,-9
2006,PHBAWYHM,0,0,-9
2006,PTSEVER,0,0,-9
2006,MHHOSPOV,0,0,-9
2006,MHMEDS,0,0,-9
2006,MHOPNUM2,0,0,-9
2006,PANATKN2,0,0,-9
2006,MDEDPWKR,0,0,-9
2006,MDELIWK2,0,0,-9
2006,GADWKS2,0,0,-9
2006,PTSWKS2,0,0,-9
2006,MHMEDWK2,0,0,-9
2006,IMPWKS2,0,0,-9
2007,PANATAK,0,0,-9
2007,MDEDP2WK,0,0,-9
2007,MDELOSIN,0,0,-9
2007,MNCHYPER,0,0,-9
2007,PHBCRWDS,0,0,-9
2007,PHBPUBPL,0,0,-9
2007,PHBTRAVL,0,0,-9
2007,PHBAWYHM,0,0,-9
2007,PTSEVER,0,0,-9
2007,MHHOSPOV,0,0,-9
2007,MHMEDS,0,0,-9
2007,MHOPNUM2,0,0,-9
2007,PANATKN2,0,0,-9
2007,MDEDPWKR,0,0,-9
2007,MDELIWK2,0,0,-9
2007,GADWKS2,0,0,-9
2007,PTSWKS2,0,0,-9
2007,MHMEDWK2,0,0,-9
2007,IMPWKS2,0,0,-9
2008,PANATAK,0,0,-9
2008,MDEDP2WK,0,0,-9
2008,MDELOSIN,0,0,-9
2008,MNCHYPER,0,0,-9
2008,PHBCRWDS,0,0,-9
2008,PHBPUBPL,0,0,-9
2008,PHBTRAVL,0,0,-9
2008,PHBAWYHM,0,0,-9
2008,PTSEVER,0,0,-9
2008,MHHOSPOV,0,0,-9
2008,MHMEDS,0,0,-9
2008,MHOPNUM2,0,0,-9
2008,PANATKN2,0,0,-9
2008,MDEDPWKR,0,0,-9
2008,MDELIWK2,0,0,-9
2008,GADWKS2,0,0,-9
2008,PTSWKS2,0,0,-9
2008,MHMEDWK2,0,0,-9
2008,IMPWKS2,0,0,-9
2009,PANATAK,0,0,-9
2009,MDEDP2WK,0,0,-9
2009,MDELOSIN,0,0,-9
2009,MNCHYPER,0,0,-9
2009,PHBCRWDS,0,0,-9
2009,PHBPUBPL,0,0,-9
2009,PHBTRAVL,0,0,-9
2009,PHBAWYHM,0,0,-9
2009,PTSEVER,0,0,-9
2009,MHHOSPOV,0,0,-9
2009,MHMEDS,0,0,-9
2009,MHOPNUM2,0,0,-9
2009,PANATKN2,0,0,-9
2009,MDEDPWKR,0,0,-9
2009,MDELIWK2,0,0,-9
2009,GADWKS2,0,0,-9
2009,PTSWKS2,0,0,-9
2009,MHMEDWK2,0,0,-9
2009,IMPWKS2,0,0,-9
2010,PANATAK,0,0,-9
2010,MDEDP2WK,0,0,-9
2010,MDELOSIN,0,0,-9
2010,MNCHYPER,0,0,-9
2010,PHBCRWDS,0,0,-9
2010,PHBPUBPL,0,0,-9
2010,PHBTRAVL,0,0,-9
2010,PHBAWYHM,0,0,-9
2010,PTSEVER,0,0,-9
2010,MHHOSPOV,0,0,-9
2010,MHMEDS,0,0,-9
2010,MHOPNUM2,0,0,-9
2010,PANATKN2,0,0,-9
2010,MDEDPWKR,0,0,-9
2010,MDELIWK2,0,0,-9
2010,GADWKS2,0,0,-9
2010,PTSWKS2,0,0,-9
2010,MHMEDWK2,0,0,-9
2010,IMPWKS2,0,0,-9
2011,PANATAK,0,0,-9
2011,MDEDP2WK,0,0,-9
2011,MDELOSIN,0,0,-9
2011,MNCHYPER,0,0,-9
2011,PHBCRWDS,0,0,-9
2011,PHBPUBPL,0,0,-9
2011,PHBTRAVL,0,0,-9
2011,PHBAWYHM,0,0,-9
2011,PTSEVER,0,0,-9
2011,MHHOSPOV,0,0,-9
2011,MHMEDS,0,0,-9
2011,MHOPNUM2,0,0,-9
2011,PANATKN2,0,0,-9
2011,MDEDPWKR,0,0,-9
2011,MDELIWK2,0,0,-9
2011,GADWKS2,0,0,-9
2011,PTSWKS2,0,0,-9
2011,MHMEDWK2,0,0,-9
2011,IMPWKS2,0,0,-9
2012,PANATAK,0,0,-9
2012,MDEDP2WK,0,0,-9
2012,MDELOSIN,0,0,-9
2012,MNCHYPER,0,0,-9
2012,PHBCRWDS,0,0,-9
2012,PHBPUBPL,0,0,-9
2012,PHBTRAVL,0,0,-9
2012,PHBAWYHM,0,0,-9
2012,PTSEVER,0,0,-9
2012,MHHOSPOV,0,0,-9
2012,MHMEDS,0,0,-9
2012,MHOPNUM2,0,0,-9
2012,PANATKN2,0,0,-9
2012,MDEDPWKR,0,0,-9
2012,MDELIWK2,0,0,-9
2012,GADWKS2,0,0,-9
2012,PTSWKS2,0,0,-9
2012,MHMEDWK2,0,0,-9
2012,IMPWKS2,0,0,-9
2013,PANATAK,0,0,-9
2013,MDEDP2WK,0,0,-9
