"hryear4","prtage","hufaminc","pesex","avg_net_use","n"
2001,5,11,1,55.4913294797688,346
2001,5,11,2,64.25,400
2001,5,12,1,62.037037037037,324
2001,5,12,2,67.590027700831,361
2001,5,13,1,66.5573770491803,305
2001,5,13,2,75.0830564784053,301
2001,5,14,1,83.0924855491329,692
2001,5,14,2,83.9171974522293,628
2001,5,NA,1,33.3333333333333,9
2001,5,NA,2,25,8
2001,6,-3,1,54.1223404255319,752
2001,6,-3,2,52.9411764705882,850
2001,6,-2,1,37.3390557939914,233
2001,6,-2,2,45.6410256410256,195
2001,6,1,1,25,132
2001,6,1,2,23.8341968911917,193
2001,6,2,1,18.8679245283019,106
2001,6,2,2,24.6376811594203,138
2001,6,3,1,24.7619047619048,105
2001,6,3,2,24.1176470588235,170
2001,6,4,1,25.7668711656442,163
2001,6,4,2,31.5315315315315,222
2001,6,5,1,25,176
2001,6,5,2,30.4147465437788,217
2001,6,6,1,29.9065420560748,321
2001,6,6,2,30.1047120418848,382
2001,6,7,1,38.9558232931727,498
2001,6,7,2,42.5650557620818,538
2001,6,8,1,49.4186046511628,516
2001,6,8,2,46.8239564428312,551
2001,6,9,1,52.5,560
2001,6,9,2,56.6308243727599,558
2001,6,10,1,59.0225563909774,532
2001,6,10,2,59.9229287090559,519
2001,6,11,1,64.5390070921986,846
2001,6,11,2,65,860
2001,6,12,1,70.6812652068127,822
2001,6,12,2,71.0336538461538,832
2001,6,13,1,78.2902137232846,889
2001,6,13,2,79.082774049217,894
2001,6,14,1,85.8565737051793,1506
2001,6,14,2,87.1088861076345,1598
2001,6,NA,1,44.4444444444444,9
2001,6,NA,2,66.6666666666667,9
2001,7,-3,1,47.2302010668855,4874
2001,7,-3,2,42.6559010479299,5821
2001,7,-2,1,40.0384985563041,1039
2001,7,-2,2,35.921568627451,1275
2001,7,1,1,15.5737704918033,488
2001,7,1,2,17.5656984785615,723
2001,7,2,1,11.1570247933884,484
2001,7,2,2,10.9183673469388,980
2001,7,3,1,13.4579439252336,535
2001,7,3,2,11.0902255639098,1064
2001,7,4,1,19.2695214105793,794
2001,7,4,2,17.7407126611069,1319
2001,7,5,1,17.0670037926675,791
2001,7,5,2,17.056856187291,1196
2001,7,6,1,20.7434944237918,1345
2001,7,6,2,22.3796033994334,1765
2001,7,7,1,29.7354497354497,1890
2001,7,7,2,30.248500428449,2334
2001,7,8,1,35.4451119606772,1831
2001,7,8,2,36.8886818816954,2147
2001,7,9,1,45.3488372093023,1806
2001,7,9,2,47.3813020068527,2043
2001,7,10,1,51.2301804264625,1829
2001,7,10,2,51.8305439330544,1912
2001,7,11,1,60.1817569841804,2971
2001,7,11,2,61.2692181877658,3057
2001,7,12,1,67.4714518760196,3065
2001,7,12,2,67.8269355888094,3074
2001,7,13,1,74.3205248359887,3201
2001,7,13,2,75.3552971576227,3096
2001,7,14,1,85.5390653747087,8153
2001,7,14,2,85.6704196519959,7816
2001,7,NA,1,45.4545454545455,22
2001,7,NA,2,40.7407407407407,27
2001,NA,-3,1,58.6092715231788,1812
2001,NA,-3,2,59.3947036569987,1586
2001,NA,-3,NA,0,582
2001,NA,-2,1,49.0364025695931,467
2001,NA,-2,2,49.0721649484536,485
2001,NA,-2,NA,0,125
2001,NA,1,1,18.2844243792325,443
2001,NA,1,2,18.9655172413793,464
2001,NA,1,NA,0,153
2001,NA,2,1,25,336
2001,NA,2,2,17.3134328358209,335
2001,NA,2,NA,0,82
2001,NA,3,1,17.3575129533679,386
2001,NA,3,2,20.2739726027397,365
2001,NA,3,NA,0,78
2001,NA,4,1,28.3858998144712,539
2001,NA,4,2,28.5444234404537,529
2001,NA,4,NA,0,106
2001,NA,5,1,26.1811023622047,508
2001,NA,5,2,29.938900203666,491
2001,NA,5,NA,0,67
2001,NA,6,1,29.9222797927461,772
2001,NA,6,2,31.2176165803109,772
2001,NA,6,NA,0,166
2001,NA,7,1,40.0900900900901,1110
2001,NA,7,2,42.0152091254753,1052
2001,NA,7,NA,0,160
2001,NA,8,1,44.3405051449953,1069
2001,NA,8,2,46.2062256809339,1028
2001,NA,8,NA,0,140
2001,NA,9,1,54.3798785776236,1153
2001,NA,9,2,55.767397521449,1049
2001,NA,9,NA,0,139
2001,NA,10,1,62.3115577889447,995
2001,NA,10,2,58.4233261339093,926
2001,NA,10,NA,0,129
2001,NA,11,1,67.6064123825318,1809
2001,NA,11,2,67.9113185530922,1714
2001,NA,11,NA,0,179
2001,NA,12,1,74.9717514124294,1770
2001,NA,12,2,77.1156138259833,1678
2001,NA,12,NA,0,177
2001,NA,13,1,83.1882480957563,1838
2001,NA,13,2,83.1161473087819,1765
2001,NA,13,NA,0,147
2001,NA,14,1,90.0980626644343,4181
2001,NA,14,2,91.2881608339538,4029
2001,NA,14,NA,0,311
2001,NA,NA,1,47.6190476190476,21
2001,NA,NA,2,41.6666666666667,12
2001,NA,NA,NA,0,12824
2003,4,-3,1,54.5731707317073,328
2003,4,-3,2,61.8421052631579,304
2003,4,-2,1,45.0819672131148,122
2003,4,-2,2,54,150
2003,4,1,1,49.4736842105263,95
2003,4,1,2,48.0769230769231,156
2003,4,2,1,40.2985074626866,67
2003,4,2,2,41.4893617021277,94
2003,4,3,1,38.4615384615385,52
2003,4,3,2,26.9230769230769,52
2003,4,4,1,43.75,64
2003,4,4,2,34.1772151898734,79
2003,4,5,1,42.8571428571429,56
2003,4,5,2,37.9746835443038,79
2003,4,6,1,32.3232323232323,99
2003,4,6,2,35.7894736842105,95
2003,4,7,1,42.6470588235294,136
2003,4,7,2,46.8965517241379,145
2003,4,8,1,48.4375,128
2003,4,8,2,55.7251908396947,131
2003,4,9,1,58.2677165354331,127
2003,4,9,2,47.7272727272727,132
