"hryear4","subgroup","tech_inc_u","tot_tech_inc_u","tech_gen_u","tot_tech_gen_u","tech_age_u","tot_tech_age_u","tech_edu_u","tot_tech_edu_u","Income","Gender","Age","Education"
2017,3,NA,NA,NA,NA,NA,NA,25654,28224,NA,NA,NA,90.8942743764172
2017,4,NA,NA,NA,NA,NA,NA,29730,31873,NA,NA,NA,93.2764408747215
2017,5,NA,NA,NA,NA,NA,NA,5748,30049,NA,NA,NA,19.1287563646045
2019,1,NA,NA,NA,NA,NA,NA,21778,24705,NA,NA,NA,88.1521959117588
2019,2,NA,NA,NA,NA,NA,NA,23164,27097,NA,NA,NA,85.4854780972063
2019,3,NA,NA,NA,NA,NA,NA,23680,25998,NA,NA,NA,91.083929533041
2019,4,NA,NA,NA,NA,NA,NA,29181,31295,NA,NA,NA,93.2449273046813
2019,5,NA,NA,NA,NA,NA,NA,5145,29755,NA,NA,NA,17.2912115610822
2021,1,NA,NA,NA,NA,NA,NA,18367,20641,NA,NA,NA,88.983091904462
2021,2,NA,NA,NA,NA,NA,NA,20663,23782,NA,NA,NA,86.8850391052056
2021,3,NA,NA,NA,NA,NA,NA,19952,21776,NA,NA,NA,91.6238060249816
2021,4,NA,NA,NA,NA,NA,NA,26529,28493,NA,NA,NA,93.1070789316674
2021,5,NA,NA,NA,NA,NA,NA,4373,32683,NA,NA,NA,13.3800446715418
2023,1,NA,NA,NA,NA,NA,NA,18042,19844,NA,NA,NA,90.9191695222737
2023,2,NA,NA,NA,NA,NA,NA,20594,23037,NA,NA,NA,89.3953205712549
2023,3,NA,NA,NA,NA,NA,NA,19858,21391,NA,NA,NA,92.8334346220373
2023,4,NA,NA,NA,NA,NA,NA,26426,28240,NA,NA,NA,93.5764872521247
2023,5,NA,NA,NA,NA,NA,NA,4031,34405,NA,NA,NA,11.7163203022816
